column,TP,FP,FN,precision,recall,f1,method
Datatype,4,0,6,1.0,0.4,0.5714285714285715,o3_clean_0.80_all
Entity Class,9,0,37,1.0,0.1956521739130435,0.3272727272727272,o3_clean_0.80_all
Function Name,0,0,3,0.0,0.0,0.0,o3_clean_0.80_all
Function Output,1,0,2,1.0,0.3333333333333333,0.5,o3_clean_0.80_all
Join,0,0,14,0.0,0.0,0.0,o3_clean_0.80_all
Ontology Property,12,0,34,1.0,0.2608695652173913,0.4137931034482758,o3_clean_0.80_all
Related Entity Class,2,0,15,1.0,0.1176470588235294,0.2105263157894736,o3_clean_0.80_all
Subject Generation,0,0,46,0.0,0.0,0.0,o3_clean_0.80_all
XML Path,4,0,17,1.0,0.1904761904761904,0.32,o3_clean_0.80_all
Datatype,4,0,18,1.0,0.1818181818181818,0.3076923076923077,gemini_clean_0.80_all
Entity Class,9,0,53,1.0,0.1451612903225806,0.2535211267605634,gemini_clean_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,gemini_clean_0.80_all
Function Output,0,0,2,0.0,0.0,0.0,gemini_clean_0.80_all
Join,0,0,15,0.0,0.0,0.0,gemini_clean_0.80_all
Ontology Property,11,0,51,1.0,0.1774193548387097,0.3013698630136986,gemini_clean_0.80_all
Related Entity Class,2,0,11,1.0,0.1538461538461538,0.2666666666666667,gemini_clean_0.80_all
Subject Generation,0,0,62,0.0,0.0,0.0,gemini_clean_0.80_all
XML Path,26,0,11,1.0,0.7027027027027027,0.8253968253968255,gemini_clean_0.80_all
Datatype,0,0,6,0.0,0.0,0.0,mixtral_clean_0.80_all
Entity Class,3,0,28,1.0,0.0967741935483871,0.1764705882352941,mixtral_clean_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Join,0,0,3,0.0,0.0,0.0,mixtral_clean_0.80_all
Ontology Property,0,0,31,0.0,0.0,0.0,mixtral_clean_0.80_all
Related Entity Class,0,0,17,0.0,0.0,0.0,mixtral_clean_0.80_all
Subject Generation,0,0,25,0.0,0.0,0.0,mixtral_clean_0.80_all
XML Path,0,0,13,0.0,0.0,0.0,mixtral_clean_0.80_all
Datatype,0,0,17,0.0,0.0,0.0,llama_clean_0.80_all
Entity Class,8,0,60,1.0,0.1176470588235294,0.2105263157894736,llama_clean_0.80_all
Function Name,0,0,3,0.0,0.0,0.0,llama_clean_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,llama_clean_0.80_all
Join,0,0,12,0.0,0.0,0.0,llama_clean_0.80_all
Ontology Property,15,0,53,1.0,0.2205882352941176,0.36144578313253,llama_clean_0.80_all
Related Entity Class,0,0,22,0.0,0.0,0.0,llama_clean_0.80_all
Subject Generation,0,0,68,0.0,0.0,0.0,llama_clean_0.80_all
XML Path,3,0,38,1.0,0.073170731707317,0.1363636363636363,llama_clean_0.80_all
Datatype,3,0,7,1.0,0.3,0.4615384615384615,deepseek_clean_0.80_all
Entity Class,18,0,39,1.0,0.3157894736842105,0.4799999999999999,deepseek_clean_0.80_all
Function Name,0,0,3,0.0,0.0,0.0,deepseek_clean_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,deepseek_clean_0.80_all
Join,0,0,13,0.0,0.0,0.0,deepseek_clean_0.80_all
Ontology Property,18,0,39,1.0,0.3157894736842105,0.4799999999999999,deepseek_clean_0.80_all
Related Entity Class,5,0,17,1.0,0.2272727272727272,0.3703703703703703,deepseek_clean_0.80_all
Subject Generation,0,0,57,0.0,0.0,0.0,deepseek_clean_0.80_all
XML Path,6,0,18,1.0,0.25,0.4,deepseek_clean_0.80_all
Datatype,1,0,7,1.0,0.125,0.2222222222222222,gpt4o_clean_0.80_all
Entity Class,3,0,28,1.0,0.0967741935483871,0.1764705882352941,gpt4o_clean_0.80_all
Function Name,0,0,1,0.0,0.0,0.0,gpt4o_clean_0.80_all
Function Output,0,0,1,0.0,0.0,0.0,gpt4o_clean_0.80_all
Join,0,0,9,0.0,0.0,0.0,gpt4o_clean_0.80_all
Ontology Property,0,0,31,0.0,0.0,0.0,gpt4o_clean_0.80_all
Related Entity Class,0,0,7,0.0,0.0,0.0,gpt4o_clean_0.80_all
Subject Generation,0,0,31,0.0,0.0,0.0,gpt4o_clean_0.80_all
XML Path,11,0,3,1.0,0.7857142857142857,0.88,gpt4o_clean_0.80_all
