column,TP,FP,FN,precision,recall,f1
CSV Column,6,0,0,1.0,1.0,1.0
Entity Class,9,0,0,1.0,1.0,1.0
Join,0,0,3,0.0,0.0,0.0
Ontology Property,9,0,0,1.0,1.0,1.0
Related Entity Class,3,0,0,1.0,1.0,1.0
Subject Generation,1,0,7,1.0,0.125,0.2222222222222222
