column,TP,FP,FN,precision,recall,f1
CSV Column,33,0,30,1.0,0.5238095238095238,0.6875000000000001
Datatype,18,0,25,1.0,0.4186046511627907,0.5901639344262295
Entity Class,12,0,41,1.0,0.22641509433962265,0.36923076923076925
Function Name,0,0,0,0.0,0.0,0.0
Function Output,1,0,15,1.0,0.0625,0.11764705882352941
Join,6,0,3,1.0,0.6666666666666666,0.8
Ontology Property,43,0,10,1.0,0.8113207547169812,0.8958333333333334
Rel. Entity Class,9,0,7,1.0,0.5625,0.72
Subject Generation,5,0,10,1.0,0.3333333333333333,0.5
