column,TP,FP,FN,precision,recall,f1
Datatype,3,0,7,1.0,0.3,0.4615384615384615
Entity Class,18,0,39,1.0,0.3157894736842105,0.4799999999999999
Function Name,0,0,3,0.0,0.0,0.0
Function Output,0,0,3,0.0,0.0,0.0
Join,0,0,13,0.0,0.0,0.0
Ontology Property,18,0,39,1.0,0.3157894736842105,0.4799999999999999
Related Entity Class,5,0,17,1.0,0.22727272727272727,0.37037037037037035
Subject Generation,0,0,57,0.0,0.0,0.0
XML Path,6,0,18,1.0,0.25,0.4
