column,TP,FP,FN,precision,recall,f1
Datatype,1,0,3,1.0,0.25,0.4
Entity Class,4,0,33,1.0,0.10810810810810811,0.1951219512195122
Function Name,1,0,1,1.0,0.5,0.6666666666666666
Function Output,0,0,2,0.0,0.0,0.0
Join,0,0,13,0.0,0.0,0.0
Ontology Property,7,0,30,1.0,0.1891891891891892,0.3181818181818182
Related Entity Class,2,0,13,1.0,0.13333333333333333,0.23529411764705882
Subject Generation,0,0,33,0.0,0.0,0.0
XML Path,5,0,5,1.0,0.5,0.6666666666666666
