column,TP,FP,FN,precision,recall,f1
CSV Column,12,0,0,1.0,1.0,1.0
Entity Class,15,0,0,1.0,1.0,1.0
Join,0,0,3,0.0,0.0,0.0
Ontology Property,15,0,0,1.0,1.0,1.0
Related Entity Class,2,0,1,1.0,0.6666666666666666,0.8
Subject Generation,3,0,12,1.0,0.2,0.33333333333333337
