column,TP,FP,FN,precision,recall,f1
CSV Column,15,0,0,1.0,1.0,1.0
Entity Class,15,0,0,1.0,1.0,1.0
Join,3,0,0,1.0,1.0,1.0
Ontology Property,9,0,6,1.0,0.6,0.7499999999999999
Related Entity Class,3,0,0,1.0,1.0,1.0
Subject Generation,15,0,0,1.0,1.0,1.0
