column,mean_similarity,LLM,method
Data Reference,0.9273651876107408,gemini,max_all
Datatype,0.7588805572275151,gemini,max_all
Entity Class,0.9165954548451636,gemini,max_all
Function Name,0.3748913904031117,gemini,max_all
Function Output,0.2394254556132687,gemini,max_all
Join,0.93722265958786,gemini,max_all
Ontology Property,0.9340754523873328,gemini,max_all
Rel. Entity Class,0.1231144741177558,gemini,max_all
Related Entity Class,0.1231144741177558,gemini,max_all
Subject Generation,0.4589709894012206,gemini,max_all
Data Reference,0.98268632332866,mixtral,max_all
Datatype,0.6014373626870414,mixtral,max_all
Entity Class,1.0,mixtral,max_all
Function Name,0.1832400120638467,mixtral,max_all
Function Output,0.1064859348512453,mixtral,max_all
Join,0.640396600899597,mixtral,max_all
Ontology Property,0.9773818272662486,mixtral,max_all
Rel. Entity Class,0.1506793287893136,mixtral,max_all
Related Entity Class,0.1231144741177558,mixtral,max_all
Subject Generation,0.443043688037967,mixtral,max_all
Data Reference,0.8849101777413209,o3,max_all
Datatype,0.4423254257826893,o3,max_all
Entity Class,0.875540530791989,o3,max_all
Function Name,0.2316602207042954,o3,max_all
Function Output,0.1366573646801091,o3,max_all
Join,1.0,o3,max_all
Ontology Property,0.8894709846733376,o3,max_all
Rel. Entity Class,0.1051714991529782,o3,max_all
Related Entity Class,0.1231144741177558,o3,max_all
Subject Generation,0.5801579332383221,o3,max_all
Data Reference,0.9717834406428868,deepseek,max_all
Datatype,0.7278821213377847,deepseek,max_all
Entity Class,1.0,deepseek,max_all
Function Name,0.230601591989398,deepseek,max_all
Function Output,0.2607930271883492,deepseek,max_all
Join,0.7677843570709229,deepseek,max_all
Ontology Property,1.0,deepseek,max_all
Rel. Entity Class,0.1231144741177558,deepseek,max_all
Related Entity Class,0.1231144741177558,deepseek,max_all
Subject Generation,0.1400455170207553,deepseek,max_all
Data Reference,0.9767160899937152,gpt4o,max_all
Datatype,0.7708343705938508,gpt4o,max_all
Entity Class,1.0,gpt4o,max_all
Function Name,0.1783380624257091,gpt4o,max_all
Function Output,0.1494425162482878,gpt4o,max_all
Join,0.6864566765725613,gpt4o,max_all
Ontology Property,1.0,gpt4o,max_all
Rel. Entity Class,0.1231144741177558,gpt4o,max_all
Related Entity Class,0.1231144741177558,gpt4o,max_all
Subject Generation,0.914319838086764,gpt4o,max_all
Data Reference,0.9767160899937152,llama,max_all
Datatype,0.7481042928993702,llama,max_all
Entity Class,1.0,llama,max_all
Function Name,0.2780222403299477,llama,max_all
Function Output,0.13346805840265,llama,max_all
Join,0.4774694045384725,llama,max_all
Ontology Property,1.0,llama,max_all
Rel. Entity Class,0.1794281005859375,llama,max_all
Related Entity Class,0.1231144741177558,llama,max_all
Subject Generation,0.7086819782853127,llama,max_all
