column,mean_similarity,LLM,method
Join,0.1867316756397485,gpt4o,levenshtein
Ontology Property,0.3283070339924759,gpt4o,levenshtein
Rel. Entity Class,0.2690958640582505,gpt4o,levenshtein
Subject Generation,0.262282407283783,gpt4o,levenshtein
CSV Column,0.2365490705286531,gpt4o,bert
Datatype,0.1153298861632194,gpt4o,bert
Entity Class,0.454242086698227,gpt4o,bert
Function Name,0.0112169312169312,gpt4o,bert
Function Output,0.0018022241493819,gpt4o,bert
Join,0.0560486530600508,gpt4o,bert
Ontology Property,0.3188224875120823,gpt4o,bert
Rel. Entity Class,0.2284855356283928,gpt4o,bert
Subject Generation,0.0939775271593155,gpt4o,bert
CSV Column,0.35366943375104,gpt4o,bert_lexical
Datatype,0.1975209999277636,gpt4o,bert_lexical
Entity Class,0.4441434885892603,gpt4o,bert_lexical
Function Name,0.0678112783306647,gpt4o,bert_lexical
Function Output,0.1615315908713946,gpt4o,bert_lexical
Join,0.1867316756397485,gpt4o,bert_lexical
Ontology Property,0.3283070339924759,gpt4o,bert_lexical
Rel. Entity Class,0.2690958640582505,gpt4o,bert_lexical
Subject Generation,0.262282407283783,gpt4o,bert_lexical
CSV Column,0.1730181443934312,llama,bert
Datatype,0.0679638648388648,llama,bert
Entity Class,0.2064549664813963,llama,bert
Function Name,0.0,llama,bert
Function Output,7.988487673545504e-05,llama,bert
Join,0.0597405169597683,llama,bert
Ontology Property,0.258968540759858,llama,bert
Rel. Entity Class,0.1298555506732198,llama,bert
Subject Generation,0.2469217509291144,llama,bert
CSV Column,0.2923254530864332,llama,bert_lexical
Datatype,0.1686405617601053,llama,bert_lexical
Entity Class,0.2481694643217945,llama,bert_lexical
Function Name,0.0404834687295887,llama,bert_lexical
Function Output,0.105259630732335,llama,bert_lexical
Join,0.1939167290990486,llama,bert_lexical
Ontology Property,0.2724894596128928,llama,bert_lexical
Rel. Entity Class,0.2336617388250508,llama,bert_lexical
Subject Generation,0.3961178131828003,llama,bert_lexical
CSV Column,0.2923254530864332,llama,levenshtein
Datatype,0.1686405617601053,llama,levenshtein
Entity Class,0.2481694643217945,llama,levenshtein
Function Name,0.0404834687295887,llama,levenshtein
Function Output,0.105259630732335,llama,levenshtein
Join,0.1939167290990486,llama,levenshtein
Ontology Property,0.2724894596128928,llama,levenshtein
Rel. Entity Class,0.2336617388250508,llama,levenshtein
Subject Generation,0.3961178131828003,llama,levenshtein
