Model,Ontology Property,Entity Class,Rel. Entity Class,Subject Generation,Join,Datatype,Function Name,Function Output
deepseek,0.990531401,0.734088269,0.633814103,0.748445172,0.550000000,0.813095238,0.200000000,0.861818182
gemini,0.986772487,0.971574506,0.981481481,0.417248677,0.619444444,0.888713219,0.200000000,0.860000000
gpt4o,0.993333333,0.962962963,0.991666667,0.706718242,0.650000000,0.862012019,0.200000000,0.733333333
llama,1.000000000,0.827777778,0.500000000,0.265795207,0.000000000,0.718555350,0.200000000,0.720634921
mixtral,0.975150790,0.824876383,0.622023810,0.083333333,0.194444444,0.797464013,0.000000000,0.487777778
o3,0.997942387,0.932624113,0.880604288,0.668548877,0.845238095,0.681540320,0.200000000,0.672727273
