method,precision_XML Path,precision_Datatype,precision_Entity Class,precision_Related Entity Class,precision_Subject Generation,precision_Join,precision_Ontology Property,precision_Language Annotations,precision_Function Name,precision_Function Output,recall_XML Path,recall_Datatype,recall_Entity Class,recall_Related Entity Class,recall_Subject Generation,recall_Join,recall_Ontology Property,recall_Language Annotations,recall_Function Name,recall_Function Output,f1_XML Path,f1_Datatype,f1_Entity Class,f1_Related Entity Class,f1_Subject Generation,f1_Join,f1_Ontology Property,f1_Language Annotations,f1_Function Name,f1_Function Output
deepseek,,1.000000000,1.000000000,0.800000000,0.966666667,0.700000000,1.000000000,,0.480000000,1.000000000,,0.697273935,0.712820513,0.578285714,0.768633705,0.540909091,0.981725146,,0.313333333,0.775714286,,0.810926990,0.780665994,0.654362536,0.815939120,0.593625731,0.990531401,,0.345641026,0.854166325
gemini,,1.000000000,1.000000000,1.000000000,0.800000000,0.700000000,1.000000000,,0.440000000,0.960000000,,0.815555556,0.958459596,0.970000000,0.357148304,0.627350427,0.975490196,,0.306666667,0.817777778,,0.887872932,0.976148441,0.983430799,0.462228228,0.655497076,0.986772487,,0.334545455,0.863000000
gpt4o,,1.000000000,1.000000000,1.000000000,0.966666667,0.866666667,1.000000000,,0.440000000,1.000000000,,0.789695767,0.951515152,0.988888889,0.687206739,0.641666667,0.985327635,,0.272222222,0.679444444,,0.861148063,0.970370370,0.994186992,0.749937711,0.721075977,0.992380952,,0.310196078,0.770218487
llama,,0.833333333,1.000000000,0.533333333,0.466666667,0.100000000,1.000000000,,0.280000000,0.840000000,,0.644722222,0.837878788,0.510526316,0.342222222,0.091666667,1.000000000,,0.260000000,0.693396825,,0.719251592,0.871414141,0.516000000,0.377774771,0.095238095,1.000000000,,0.268363636,0.745838606
mixtral,,1.000000000,1.000000000,0.666666667,0.366666667,0.333333333,1.000000000,,0.200000000,1.000000000,,0.687021065,0.816527348,0.581296296,0.110639098,0.200000000,0.958274243,,0.040277778,0.427777778,,0.793558289,0.865262475,0.618320106,0.159426996,0.238888889,0.977524816,,0.064134454,0.562420291
o3,,1.000000000,1.000000000,1.000000000,0.866666667,0.933333333,1.000000000,,0.400000000,0.960000000,,0.543571429,0.924410774,0.844047619,0.652345216,0.791666667,0.995934959,,0.297777778,0.636825397,,0.697781310,0.948305345,0.895025886,0.724229544,0.832010582,0.997942387,,0.324857143,0.723207792
