column,TP,FP,FN,precision,recall,f1
CSV Column,36,0,3,1.0,0.9230769230769231,0.9600000000000001
Datatype,25,0,5,1.0,0.8333333333333334,0.9090909090909091
Entity Class,36,0,3,1.0,0.9230769230769231,0.9600000000000001
Function Name,0,0,0,0.0,0.0,0.0
Function Output,0,0,9,0.0,0.0,0.0
Join,6,0,6,1.0,0.5,0.6666666666666666
Ontology Property,36,0,3,1.0,0.9230769230769231,0.9600000000000001
Rel. Entity Class,16,0,5,1.0,0.7619047619047619,0.8648648648648648
Subject Generation,26,0,2,1.0,0.9285714285714286,0.962962962962963
