column,TP,FP,FN,precision,recall,f1
CSV Column,15,0,0,1.0,1.0,1.0
Datatype,15,0,0,1.0,1.0,1.0
Entity Class,15,0,0,1.0,1.0,1.0
Join,0,0,0,0.0,0.0,0.0
Ontology Property,15,0,0,1.0,1.0,1.0
Related Entity Class,0,0,0,0.0,0.0,0.0
Subject Generation,15,0,0,1.0,1.0,1.0
