column,mean_similarity,LLM,method
CSV Column,1.0,gemini,bert
Datatype,0.9176136363636364,gemini,bert
Entity Class,0.7633164112820792,gemini,bert
Function Name,0.0,gemini,bert
Function Output,0.4459321475625823,gemini,bert
Join,0.2083333333333333,gemini,bert
Ontology Property,0.9280719280719282,gemini,bert
Rel. Entity Class,1.0,gemini,bert
Subject Generation,0.2441322202119488,gemini,bert
CSV Column,1.0,gemini,levenshtein
Datatype,0.9171445108950138,gemini,levenshtein
Entity Class,0.9068094112656334,gemini,levenshtein
Function Name,-0.0043788707504669,gemini,levenshtein
Function Output,0.8238800863424937,gemini,levenshtein
Join,0.705078196246177,gemini,levenshtein
Ontology Property,0.9445081226753466,gemini,levenshtein
Rel. Entity Class,1.0,gemini,levenshtein
Subject Generation,0.3870001814582131,gemini,levenshtein
CSV Column,1.0,gemini,bert_lexical
Datatype,0.9171445108950138,gemini,bert_lexical
Entity Class,0.9068094112656334,gemini,bert_lexical
Function Name,-0.0043788707504669,gemini,bert_lexical
Function Output,0.8238800863424937,gemini,bert_lexical
Join,0.705078196246177,gemini,bert_lexical
Ontology Property,0.9445081226753466,gemini,bert_lexical
Rel. Entity Class,1.0,gemini,bert_lexical
Subject Generation,0.3870001814582131,gemini,bert_lexical
CSV Column,0.9659090909090908,gemini,max
Datatype,0.8940949104726315,gemini,max
Entity Class,0.9096715924414722,gemini,max
Function Name,0.0136391645711329,gemini,max
Function Output,0.7865098383691577,gemini,max
Join,0.705078196246177,gemini,max
Ontology Property,0.905863715693204,gemini,max
Rel. Entity Class,0.9288194444444444,gemini,max
Subject Generation,0.4967328094771175,gemini,max
CSV Column,0.9743589743589745,mixtral,bert
Datatype,0.5011363636363636,mixtral,bert
Entity Class,0.5046348999837372,mixtral,bert
Function Name,0.0,mixtral,bert
Function Output,0.2413276373750682,mixtral,bert
Join,0.1165223665223665,mixtral,bert
Ontology Property,0.9714795008912656,mixtral,bert
Rel. Entity Class,0.6018518518518517,mixtral,bert
Subject Generation,0.2745035371499131,mixtral,bert
CSV Column,0.9829964457136212,mixtral,bert_lexical
Datatype,0.5306244382013877,mixtral,bert_lexical
Entity Class,0.718208797050245,mixtral,bert_lexical
Function Name,0.0674292600403229,mixtral,bert_lexical
Function Output,0.5642754437796997,mixtral,bert_lexical
Join,0.3300379479510917,mixtral,bert_lexical
Ontology Property,0.9750031277988896,mixtral,bert_lexical
Rel. Entity Class,0.6005386759837469,mixtral,bert_lexical
Subject Generation,0.5864817204348969,mixtral,bert_lexical
CSV Column,0.9688268171416388,mixtral,max
Datatype,0.5116155238426997,mixtral,max
Entity Class,0.7137483227433581,mixtral,max
Function Name,0.0630264087683624,mixtral,max
Function Output,0.4936843425907493,mixtral,max
Join,0.2837097510281536,mixtral,max
Ontology Property,0.9685404391752348,mixtral,max
Rel. Entity Class,0.5819651865296893,mixtral,max
Subject Generation,0.6243058499967243,mixtral,max
CSV Column,0.9829964457136212,mixtral,levenshtein
Datatype,0.5306244382013877,mixtral,levenshtein
Entity Class,0.718208797050245,mixtral,levenshtein
Function Name,0.0674292600403229,mixtral,levenshtein
Function Output,0.5642754437796997,mixtral,levenshtein
Join,0.3300379479510917,mixtral,levenshtein
Ontology Property,0.9750031277988896,mixtral,levenshtein
Rel. Entity Class,0.6005386759837469,mixtral,levenshtein
Subject Generation,0.5864817204348969,mixtral,levenshtein
CSV Column,1.0,o3,bert_lexical
Datatype,0.5488266511396929,o3,bert_lexical
Entity Class,0.6780214074886205,o3,bert_lexical
Function Name,0.1399949236525229,o3,bert_lexical
Function Output,0.2467000157374775,o3,bert_lexical
Join,0.230148137382448,o3,bert_lexical
Ontology Property,1.0,o3,bert_lexical
Rel. Entity Class,0.648171710057391,o3,bert_lexical
Subject Generation,0.3127047033472495,o3,bert_lexical
CSV Column,1.0,o3,levenshtein
Datatype,0.5488266511396929,o3,levenshtein
Entity Class,0.6780214074886205,o3,levenshtein
Function Name,0.1399949236525229,o3,levenshtein
Function Output,0.2467000157374775,o3,levenshtein
Join,0.230148137382448,o3,levenshtein
Ontology Property,1.0,o3,levenshtein
Rel. Entity Class,0.648171710057391,o3,levenshtein
Subject Generation,0.3127047033472495,o3,levenshtein
CSV Column,0.8592360110849592,o3,max
Datatype,0.4957168253139251,o3,max
Entity Class,0.6596659757134704,o3,max
Function Name,0.1414887865610195,o3,max
Function Output,0.2335183110577289,o3,max
Join,0.1866856090009513,o3,max
Ontology Property,0.8565613196694019,o3,max
Rel. Entity Class,0.5231115619299048,o3,max
Subject Generation,0.2729531293274995,o3,max
CSV Column,1.0,o3,bert
Datatype,0.3931723653648787,o3,bert
Entity Class,0.5255747031623567,o3,bert
Function Name,0.0,o3,bert
Function Output,0.0871958474478237,o3,bert
Join,0.115647247658853,o3,bert
Ontology Property,1.0,o3,bert
Rel. Entity Class,0.4266556641556641,o3,bert
Subject Generation,0.2503539597657244,o3,bert
CSV Column,1.0,deepseek,bert_lexical
Datatype,0.5495456667108969,deepseek,bert_lexical
Entity Class,0.2820085447394486,deepseek,bert_lexical
Function Name,0.2082687566677729,deepseek,bert_lexical
Function Output,0.5224229055767258,deepseek,bert_lexical
Join,0.8234126965204874,deepseek,bert_lexical
Ontology Property,1.0,deepseek,bert_lexical
Rel. Entity Class,0.3738834328121609,deepseek,bert_lexical
Subject Generation,0.1474351253021847,deepseek,bert_lexical
CSV Column,1.0,deepseek,bert
Datatype,0.4848003848003848,deepseek,bert
Entity Class,0.3146021020136288,deepseek,bert
Function Name,0.0,deepseek,bert
Function Output,0.2317280666193709,deepseek,bert
Join,0.6175807217473884,deepseek,bert
Ontology Property,1.0,deepseek,bert
Rel. Entity Class,0.287037037037037,deepseek,bert
Subject Generation,0.0428797781738958,deepseek,bert
CSV Column,1.0,deepseek,max
Datatype,0.5495456667108969,deepseek,max
Entity Class,0.3339062760196342,deepseek,max
Function Name,0.2082687566677729,deepseek,max
Function Output,0.5240552498425683,deepseek,max
Join,0.8234126965204874,deepseek,max
Ontology Property,1.0,deepseek,max
Rel. Entity Class,0.3738834328121609,deepseek,max
Subject Generation,0.1478817861339058,deepseek,max
CSV Column,1.0,deepseek,levenshtein
Datatype,0.5495456667108969,deepseek,levenshtein
Entity Class,0.2820085447394486,deepseek,levenshtein
