column,mean_similarity,LLM,method
CSV Column,0.8571428571428572,gemini,bert
Datatype,0.9231601731601732,gemini,bert
Entity Class,0.992063492063492,gemini,bert
Function Name,0.0,gemini,bert
Function Output,0.4260036953166187,gemini,bert
Join,0.9322128851540616,gemini,bert
Ontology Property,0.9967532467532468,gemini,bert
Rel. Entity Class,1.0,gemini,bert
Subject Generation,0.4313589600382053,gemini,bert
CSV Column,0.8844635337591171,gemini,levenshtein
Datatype,0.9006210789084435,gemini,levenshtein
Entity Class,0.9907289317676,gemini,levenshtein
Function Name,0.0315716912349065,gemini,levenshtein
Function Output,0.4983403741717141,gemini,levenshtein
Join,0.98114542166392,gemini,levenshtein
Ontology Property,0.9916525099958692,gemini,levenshtein
Rel. Entity Class,1.0,gemini,levenshtein
Subject Generation,0.6848901226407006,gemini,levenshtein
CSV Column,0.8844635337591171,gemini,bert_lexical
Datatype,0.9006210789084435,gemini,bert_lexical
Entity Class,0.9907289317676,gemini,bert_lexical
Function Name,0.0315716912349065,gemini,bert_lexical
Function Output,0.4983403741717141,gemini,bert_lexical
Join,0.98114542166392,gemini,bert_lexical
Ontology Property,0.9916525099958692,gemini,bert_lexical
Rel. Entity Class,1.0,gemini,bert_lexical
Subject Generation,0.6848901226407006,gemini,bert_lexical
CSV Column,0.663576270021029,gemini,max
Datatype,0.640326907192244,gemini,max
Entity Class,0.7978025989273446,gemini,max
Function Name,0.0501281671226024,gemini,max
Function Output,0.5100028112466902,gemini,max
Join,0.6602088264707061,gemini,max
Ontology Property,0.7465005442700918,gemini,max
Rel. Entity Class,0.8862832803279161,gemini,max
Subject Generation,0.5199090547287091,gemini,max
CSV Column,0.715964590964591,mixtral,bert
Datatype,0.449829645662979,mixtral,bert
Entity Class,0.8727106227106227,mixtral,bert
Function Name,0.0,mixtral,bert
Function Output,0.0601122276640007,mixtral,bert
Join,0.0103670634920634,mixtral,bert
Ontology Property,0.7841881588817863,mixtral,bert
Rel. Entity Class,0.627104377104377,mixtral,bert
Subject Generation,0.1624396585455022,mixtral,bert
CSV Column,0.7548182150004087,mixtral,bert_lexical
Datatype,0.4759285333911302,mixtral,bert_lexical
Entity Class,0.877945344096848,mixtral,bert_lexical
Function Name,0.1239265522195233,mixtral,bert_lexical
Function Output,0.2144667714001064,mixtral,bert_lexical
Join,0.0984774829908495,mixtral,bert_lexical
Ontology Property,0.7827233857741313,mixtral,bert_lexical
Rel. Entity Class,0.7174524944463764,mixtral,bert_lexical
Subject Generation,0.3011539103192273,mixtral,bert_lexical
CSV Column,0.7424187212814174,mixtral,max
Datatype,0.4530816461591083,mixtral,max
Entity Class,0.8357621807801096,mixtral,max
Function Name,0.1217131004151371,mixtral,max
Function Output,0.2347116342713044,mixtral,max
Join,0.1003536027634427,mixtral,max
Ontology Property,0.7857000796427244,mixtral,max
Rel. Entity Class,0.7312519036647346,mixtral,max
Subject Generation,0.2910265405951,mixtral,max
CSV Column,0.7548182150004087,mixtral,levenshtein
Datatype,0.4759285333911302,mixtral,levenshtein
Entity Class,0.877945344096848,mixtral,levenshtein
Function Name,0.1239265522195233,mixtral,levenshtein
Function Output,0.2144667714001064,mixtral,levenshtein
Join,0.0984774829908495,mixtral,levenshtein
Ontology Property,0.7827233857741313,mixtral,levenshtein
Rel. Entity Class,0.7174524944463764,mixtral,levenshtein
Subject Generation,0.3011539103192273,mixtral,levenshtein
CSV Column,0.5820364293952783,o3,bert_lexical
Datatype,0.4344653960849557,o3,bert_lexical
Entity Class,0.865093212042536,o3,bert_lexical
Function Name,0.0993384637249012,o3,bert_lexical
Function Output,0.179079072004109,o3,bert_lexical
Join,0.6934168847898642,o3,bert_lexical
Ontology Property,0.8040791382747038,o3,bert_lexical
Rel. Entity Class,0.7053451682440937,o3,bert_lexical
Subject Generation,0.1105242461586992,o3,bert_lexical
CSV Column,0.5820364293952783,o3,levenshtein
Datatype,0.4344653960849557,o3,levenshtein
Entity Class,0.865093212042536,o3,levenshtein
Function Name,0.0993384637249012,o3,levenshtein
Function Output,0.179079072004109,o3,levenshtein
Join,0.6934168847898642,o3,levenshtein
Ontology Property,0.8040791382747038,o3,levenshtein
Rel. Entity Class,0.7053451682440937,o3,levenshtein
Subject Generation,0.1105242461586992,o3,levenshtein
CSV Column,0.5066701731028461,o3,max
Datatype,0.4579641581431656,o3,max
Entity Class,0.7643977614560565,o3,max
Function Name,0.0914454925586195,o3,max
Function Output,0.1854476603860621,o3,max
Join,0.4192246155192454,o3,max
Ontology Property,0.7105003787977658,o3,max
Rel. Entity Class,0.604623282448975,o3,max
Subject Generation,0.1367144249668671,o3,max
CSV Column,0.4654422609140927,o3,bert
Datatype,0.4026180169037311,o3,bert
Entity Class,0.8321259593581023,o3,bert
Function Name,0.0,o3,bert
Function Output,0.06938868972608,o3,bert
Join,0.6274509803921569,o3,bert
Ontology Property,0.7700009799855002,o3,bert
Rel. Entity Class,0.6832264957264957,o3,bert
Subject Generation,0.1356147807115652,o3,bert
CSV Column,0.8038813908185277,deepseek,bert_lexical
Datatype,0.5591239583279405,deepseek,bert_lexical
Entity Class,0.6909417460362116,deepseek,bert_lexical
Function Name,0.2921439508597056,deepseek,bert_lexical
Function Output,0.4881657510995865,deepseek,bert_lexical
Join,0.8024526337782542,deepseek,bert_lexical
Ontology Property,0.9545190987132844,deepseek,bert_lexical
Rel. Entity Class,0.7025107145309448,deepseek,bert_lexical
Subject Generation,0.3298607048179422,deepseek,bert_lexical
CSV Column,0.745286063143206,deepseek,bert
Datatype,0.4948034769463341,deepseek,bert
Entity Class,0.6585266585266586,deepseek,bert
Function Name,0.0,deepseek,bert
Function Output,0.2411188527976542,deepseek,bert
Join,0.6530562982768865,deepseek,bert
Ontology Property,0.949788306931164,deepseek,bert
Rel. Entity Class,0.654320987654321,deepseek,bert
Subject Generation,0.3055432699395547,deepseek,bert
CSV Column,0.6826257123838387,deepseek,max
Datatype,0.497377980862096,deepseek,max
Entity Class,0.6227695607234135,deepseek,max
Function Name,0.2733925133943558,deepseek,max
Function Output,0.5538085847855523,deepseek,max
Join,0.4696465312606758,deepseek,max
Ontology Property,0.8572614292263848,deepseek,max
Rel. Entity Class,0.5907474684218567,deepseek,max
Subject Generation,0.3021429157680095,deepseek,max
CSV Column,0.8038813908185277,deepseek,levenshtein
Datatype,0.5591239583279405,deepseek,levenshtein
Entity Class,0.6909417460362116,deepseek,levenshtein
Function Name,0.2921439508597056,deepseek,levenshtein
Function Output,0.4881657510995865,deepseek,levenshtein
Join,0.8024526337782542,deepseek,levenshtein
Ontology Property,0.9545190987132844,deepseek,levenshtein
Rel. Entity Class,0.7025107145309448,deepseek,levenshtein
Subject Generation,0.3298607048179422,deepseek,levenshtein
CSV Column,0.8839946467252005,gpt4o,levenshtein
Datatype,0.6044415998316947,gpt4o,levenshtein
