column,TP,FP,FN,precision,recall,f1
CSV Column,8,0,16,1.0,0.3333333333333333,0.5
Datatype,0,0,24,0.0,0.0,0.0
Entity Class,1,0,50,1.0,0.0196078431372549,0.038461538461538464
Function Name,0,0,6,0.0,0.0,0.0
Function Output,0,0,9,0.0,0.0,0.0
Join,0,0,5,0.0,0.0,0.0
Ontology Property,1,0,50,1.0,0.0196078431372549,0.038461538461538464
Rel. Entity Class,0,0,27,0.0,0.0,0.0
Subject Generation,0,0,36,0.0,0.0,0.0
