column,mean_similarity,LLM,method
CSV Column,0.8497942386831276,gemini,bert
Datatype,0.9208333333333334,gemini,bert
Entity Class,0.9444444444444444,gemini,bert
Function Name,0.0,gemini,bert
Function Output,0.0,gemini,bert
Join,0.1701548821548821,gemini,bert
Ontology Property,1.0,gemini,bert
Rel. Entity Class,1.0,gemini,bert
Subject Generation,0.6693202978339347,gemini,bert
CSV Column,0.8883412298229004,gemini,levenshtein
Datatype,0.9149223215050168,gemini,levenshtein
Entity Class,0.9838245213031768,gemini,levenshtein
Function Name,0.0,gemini,levenshtein
Function Output,0.0,gemini,levenshtein
Join,0.3503503938515981,gemini,levenshtein
Ontology Property,1.0,gemini,levenshtein
Rel. Entity Class,1.0,gemini,levenshtein
Subject Generation,0.6936613553100162,gemini,levenshtein
CSV Column,0.8883412298229004,gemini,bert_lexical
Datatype,0.9149223215050168,gemini,bert_lexical
Entity Class,0.9838245213031768,gemini,bert_lexical
Function Name,0.0,gemini,bert_lexical
Function Output,0.0,gemini,bert_lexical
Join,0.3503503938515981,gemini,bert_lexical
Ontology Property,1.0,gemini,bert_lexical
Rel. Entity Class,1.0,gemini,bert_lexical
Subject Generation,0.6936613553100162,gemini,bert_lexical
CSV Column,0.8883412298229004,gemini,max
Datatype,0.927859326865938,gemini,max
Entity Class,0.9838245213031768,gemini,max
Function Name,0.0,gemini,max
Function Output,0.0,gemini,max
Join,0.3503503938515981,gemini,max
Ontology Property,1.0,gemini,max
Rel. Entity Class,1.0,gemini,max
Subject Generation,0.6966904879218401,gemini,max
CSV Column,1.0,mixtral,bert
Datatype,0.975,mixtral,bert
Entity Class,0.9333333333333332,mixtral,bert
Function Name,0.0,mixtral,bert
Function Output,0.0016666666666666,mixtral,bert
Join,0.0,mixtral,bert
Ontology Property,1.0,mixtral,bert
Rel. Entity Class,0.0,mixtral,bert
Subject Generation,0.1724733077682595,mixtral,bert
CSV Column,1.0,mixtral,bert_lexical
Datatype,0.9613019943237304,mixtral,bert_lexical
Entity Class,0.9805894255638122,mixtral,bert_lexical
Function Name,0.0293169748658935,mixtral,bert_lexical
Function Output,0.0131179191172122,mixtral,bert_lexical
Join,0.0370795386532942,mixtral,bert_lexical
Ontology Property,1.0,mixtral,bert_lexical
Rel. Entity Class,0.0936498840649922,mixtral,bert_lexical
Subject Generation,0.55612074136734,mixtral,bert_lexical
CSV Column,1.0,mixtral,max
Datatype,0.975,mixtral,max
Entity Class,0.9805894255638122,mixtral,max
Function Name,0.0293169748658935,mixtral,max
Function Output,0.0131179191172122,mixtral,max
Join,0.0396888144314289,mixtral,max
Ontology Property,1.0,mixtral,max
Rel. Entity Class,0.0936498840649922,mixtral,max
Subject Generation,0.55612074136734,mixtral,max
CSV Column,1.0,mixtral,levenshtein
Datatype,0.9613019943237304,mixtral,levenshtein
Entity Class,0.9805894255638122,mixtral,levenshtein
Function Name,0.0293169748658935,mixtral,levenshtein
Function Output,0.0131179191172122,mixtral,levenshtein
Join,0.0370795386532942,mixtral,levenshtein
Ontology Property,1.0,mixtral,levenshtein
Rel. Entity Class,0.0936498840649922,mixtral,levenshtein
Subject Generation,0.55612074136734,mixtral,levenshtein
CSV Column,0.986514386203554,o3,bert_lexical
Datatype,0.6570761054754257,o3,bert_lexical
Entity Class,0.9599053230550556,o3,bert_lexical
Function Name,0.144531009460075,o3,bert_lexical
Function Output,0.096113431888322,o3,bert_lexical
Join,0.3591807131965955,o3,bert_lexical
Ontology Property,0.9607708851496378,o3,bert_lexical
Rel. Entity Class,0.9804049928983052,o3,bert_lexical
Subject Generation,0.6175953961080975,o3,bert_lexical
CSV Column,0.986514386203554,o3,levenshtein
Datatype,0.6570761054754257,o3,levenshtein
Entity Class,0.9599053230550556,o3,levenshtein
Function Name,0.144531009460075,o3,levenshtein
Function Output,0.096113431888322,o3,levenshtein
Join,0.3591807131965955,o3,levenshtein
Ontology Property,0.9607708851496378,o3,levenshtein
Rel. Entity Class,0.9804049928983052,o3,levenshtein
Subject Generation,0.6175953961080975,o3,levenshtein
CSV Column,0.986514386203554,o3,max
Datatype,0.6523314540584882,o3,max
Entity Class,0.9603895812925668,o3,max
Function Name,0.144531009460075,o3,max
Function Output,0.096113431888322,o3,max
Join,0.1016781558593114,o3,max
Ontology Property,0.9407579369015164,o3,max
Rel. Entity Class,0.6707697321350375,o3,max
Subject Generation,0.6175953961080975,o3,max
CSV Column,0.9603174603174603,o3,bert
Datatype,0.5591531254574732,o3,bert
Entity Class,0.921611952861953,o3,bert
Function Name,0.0,o3,bert
Function Output,0.0059868875086266,o3,bert
Join,0.199554367201426,o3,bert
Ontology Property,0.9101499257868442,o3,bert
Rel. Entity Class,0.9791666666666666,o3,bert
Subject Generation,0.4959336959336959,o3,bert
CSV Column,1.0,deepseek,bert_lexical
Datatype,0.9090848942597708,deepseek,bert_lexical
Entity Class,0.9805894255638122,deepseek,bert_lexical
Function Name,0.062912106513977,deepseek,bert_lexical
