column,TP,FP,FN,precision,recall,f1
CSV Column,13,0,11,1.0,0.5416666666666666,0.7027027027027027
Datatype,11,0,6,1.0,0.6470588235294118,0.7857142857142858
Entity Class,16,0,8,1.0,0.6666666666666666,0.8
Join,2,0,2,1.0,0.5,0.6666666666666666
Language Annotations,2,0,1,1.0,0.6666666666666666,0.8
Ontology Property,12,0,12,1.0,0.5,0.6666666666666666
Related Entity Class,1,0,1,1.0,0.5,0.6666666666666666
Subject Generation,23,0,1,1.0,0.9583333333333334,0.9787234042553191
