column,TP,FP,FN,precision,recall,f1
CSV Column,15,0,6,1.0,0.7142857142857143,0.8333333333333333
Datatype,10,0,5,1.0,0.6666666666666666,0.8
Entity Class,27,0,0,1.0,1.0,1.0
Function Name,0,0,6,0.0,0.0,0.0
Function Output,6,0,0,1.0,1.0,1.0
Join,6,0,0,1.0,1.0,1.0
Ontology Property,27,0,0,1.0,1.0,1.0
Related Entity Class,12,0,0,1.0,1.0,1.0
Subject Generation,9,0,18,1.0,0.3333333333333333,0.5
