column,TP,FP,FN,precision,recall,f1
CSV Column,21,0,2,1.0,0.9130434782608695,0.9545454545454545
Datatype,8,0,6,1.0,0.5714285714285714,0.7272727272727273
Entity Class,27,0,3,1.0,0.9,0.9473684210526316
Function Name,1,0,8,1.0,0.1111111111111111,0.19999999999999998
Function Output,4,0,5,1.0,0.4444444444444444,0.6153846153846153
Join,0,0,0,0.0,0.0,0.0
Ontology Property,28,0,3,1.0,0.9032258064516129,0.9491525423728813
Related Entity Class,7,0,2,1.0,0.7777777777777778,0.8750000000000001
Subject Generation,6,0,14,1.0,0.3,0.4615384615384615
