column,TP,FP,FN,precision,recall,f1
CSV Column,35,0,42,1.0,0.45454545454545453,0.625
Datatype,28,0,13,1.0,0.6829268292682927,0.8115942028985507
Entity Class,43,0,25,1.0,0.6323529411764706,0.7747747747747747
Function Name,0,0,0,0.0,0.0,0.0
Function Output,15,0,3,1.0,0.8333333333333334,0.9090909090909091
Join,6,0,0,1.0,1.0,1.0
Ontology Property,45,0,23,1.0,0.6617647058823529,0.7964601769911505
Rel. Entity Class,21,0,0,1.0,1.0,1.0
Subject Generation,9,0,59,1.0,0.1323529411764706,0.23376623376623376
