column,mean_similarity,LLM,method
CSV Column,0.9642857142857144,gemini,bert
Datatype,0.3775958994708994,gemini,bert
Entity Class,1.0,gemini,bert
Function Name,0.0,gemini,bert
Function Output,0.3301572863263045,gemini,bert
Join,0.6069832716599591,gemini,bert
Ontology Property,1.0,gemini,bert
Rel. Entity Class,1.0,gemini,bert
Subject Generation,0.527022972843756,gemini,bert
CSV Column,0.985837295651436,gemini,levenshtein
Datatype,0.4991756045707949,gemini,levenshtein
Entity Class,1.0,gemini,levenshtein
Function Name,0.1008723635847369,gemini,levenshtein
Function Output,0.376693763434776,gemini,levenshtein
Join,0.902521378464169,gemini,levenshtein
Ontology Property,1.0,gemini,levenshtein
Rel. Entity Class,1.0,gemini,levenshtein
Subject Generation,0.8543675161070294,gemini,levenshtein
CSV Column,0.985837295651436,gemini,bert_lexical
Datatype,0.4991756045707949,gemini,bert_lexical
Entity Class,1.0,gemini,bert_lexical
Function Name,0.1008723635847369,gemini,bert_lexical
Function Output,0.376693763434776,gemini,bert_lexical
Join,0.902521378464169,gemini,bert_lexical
Ontology Property,1.0,gemini,bert_lexical
Rel. Entity Class,1.0,gemini,bert_lexical
Subject Generation,0.8543675161070294,gemini,bert_lexical
CSV Column,0.6707322058750699,gemini,max
Datatype,0.4351285421534588,gemini,max
Entity Class,0.6763715197546345,gemini,max
Function Name,0.0986129562592222,gemini,max
Function Output,0.3875108472501485,gemini,max
Join,0.2581345457815382,gemini,max
Ontology Property,0.7268503551833971,gemini,max
Rel. Entity Class,0.496900085507434,gemini,max
Subject Generation,0.5637010272860441,gemini,max
CSV Column,0.747713193239509,mixtral,bert
Datatype,0.4705997823298548,mixtral,bert
Entity Class,0.8082671957671957,mixtral,bert
Function Name,0.0,mixtral,bert
Function Output,0.0452311940236807,mixtral,bert
Join,0.0349050976278263,mixtral,bert
Ontology Property,0.7989151882975412,mixtral,bert
Rel. Entity Class,0.2681839402427637,mixtral,bert
