column,TP,FP,FN,precision,recall,f1
CSV Column,14,0,5,1.0,0.7368421052631579,0.8484848484848484
Datatype,6,0,7,1.0,0.46153846153846156,0.631578947368421
Entity Class,22,0,2,1.0,0.9166666666666666,0.9565217391304348
Function Name,2,0,4,1.0,0.3333333333333333,0.5
Function Output,6,0,2,1.0,0.75,0.8571428571428571
Join,2,0,0,1.0,1.0,1.0
Ontology Property,23,0,0,1.0,1.0,1.0
Related Entity Class,6,0,2,1.0,0.75,0.8571428571428571
Subject Generation,3,0,18,1.0,0.14285714285714285,0.25
